name,type,description
P-Anisic Acid,small molecule,
9-Deazainosine,small molecule,
3-Nitrophenylboronic Acid,small molecule,
Alpha-Methylene Adenosine Monophosphate,small molecule,
N-[2-(1-Maleimidyl)Ethyl]-7-Diethylaminocoumarin-3-Carboxamide,small molecule,
5-Hydroxymethylene-6-Hydrofolic Acid,small molecule,
"2,3 -Anhydro-Quinic Acid",small molecule,
5-Aminocarbonyl-3-Nitrophenyl-Alpha-D-Galactopyranose,small molecule,
"3-Phenyl-1,2-Propandiol",small molecule,
A-98881,small molecule,
Uracil arabinose-3'-phosphate,small molecule,
2-Methoxyethanol,small molecule,
3-deoxy-D-lyxo-hexonic acid,small molecule,
Trifluorofurnesyl Diphosphate,small molecule,
"Brodimoprim-4,6-Dicarboxylate",small molecule,
N-(2-Acetamido)Iminodiacetic Acid,small molecule,
Diethylphosphono Group,small molecule,
"(2s,4r)-1-Acetyl-N-[(1s)-4-[(Aminoiminomethyl)Amino]-1-(2-Benzothiazolylcarbonyl)Butyl]-4-Hydroxy-2-Pyrrolidinecarboxamide",small molecule,
"2-Acetamido-2-Deoxy-D-Glucono-1,5-Lactone",small molecule,
3'-Deazo-Thiamin Diphosphate,small molecule,
"7-(1-Methyl-1,2,3-Triazol-4-Yl)-6-Formyl-2,7-Dihydro-[1,4]Thiazepine-3-Carboxylic Acid, Brl42715, C6-(N1-Methyl-1,2,3-Triazolylmethylene)Penem",small molecule,
5-Exo-Hydroxycamphor,small molecule,
Iodo-Willardiine,small molecule,
"Mono-[3,4-Dihydroxy-5-(5-Methyl-Benzoimidazol-1-Yl)-Tetrahydor-Furan-2-Ylmethyl] Ester",small molecule,
"1-Azepan-1-Yl-2-Phenyl-2-(4-Thioxo-1,4-Dihydro-Pyrazolo[3,4-D]Pyrimidin-5-Yl)Ethanone Adduct",small molecule,
Canaline,small molecule,
Para-Bromobenzyl Alcohol,small molecule,
Phosphonoacetic Acid,small molecule,
N-Pyridoxyl-Glycine-5-Monophosphate,small molecule,
Methylphosphonic Acid Ester Group,small molecule,
"7-(1,1-Dioxo-1h-Benzo[D]Isothiazol-3-Yloxymethyl)-2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid",small molecule,
5-Fluorolevulinic Acid,small molecule,
4-(Acetylamino)-3-[(Aminoacetyl)Amino]Benzoic Acid,small molecule,
FR236913,small molecule,
Dihydrogenphosphate,small molecule,
Siroheme,small molecule,
[4-(2-Amino-4-Methyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(3-Nitro-Phenyl)-Amine,small molecule,
IDD552,small molecule,
"Alpha-D-Glucose 1,6-Bisphosphate",small molecule,
Guanosine 5'-Diphosphate 2':3'-Cyclic Monophosphate,small molecule,
O4-Sulfonylgalactose,small molecule,
"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",small molecule,
"2,4-Dihydroxybenzoic Acid",small molecule,
"4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid",small molecule,
[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid,small molecule,
9-amino-n-[3-(dimethylamino)propyl]acridine-4-carboxamide,small molecule,
alpha-D-glucose-1-phosphate,small molecule,
"S-Adenosyl-1,8-Diamino-3-Thiooctane",small molecule,
Methylphosphinic Acid,small molecule,
L-thioproline,small molecule,
"(2s,3r)-1-Amino-2-Methylbutane-2,3-Diol",small molecule,
"{4-[3-(6,7-Diethoxy-Quinazolin-4-Ylamino)-Phenyl]-Thiazol-2-Yl}-Methanol",small molecule,
N-Pyridoxyl-1-Amino-Cyclopropanecarboxylic Acid-5-Monophosphate,small molecule,
(1-Tert-Butyl-5-Hydroxy-1h-Pyrazol-4-Yl)-(6-Methanesulfonyl-4'-Methoxy-2-Methyl-Biphenyl-3-Yl)-Methanone,small molecule,
Thiocamphor,small molecule,
Domoic Acid,small molecule,
D-Proline,small molecule,
Aetiocholanolone,small molecule,
N-(3-Propylcarbamoyloxirane-2-Carbonyl)-Isoleucyl-Proline,small molecule,
Methyl-Carbamic Acid Ethyl Ester,small molecule,
Guanosine,small molecule,
3-(4-Benzenesulfonyl-Thiophene-2-Sulfonylamino)-Phenylboronic Acid,small molecule,
Soraphen A,small molecule,
Calyculin A,small molecule,
"4-(Aminosulfonyl)-N-[(3,4,5-Trifluorophenyl)Methyl]-Benzamide",small molecule,
Gluco-Phenylimidazole,small molecule,
,small molecule,
Glucosamine 4-Phosphate,small molecule,
Dansylamide,small molecule,
D-Mannose 1-Phosphate,small molecule,
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine",small molecule,
3-amino-5-phenylpentane,small molecule,
N-Allyl-Aniline,small molecule,
3-Butylthiolane 1-Oxide,small molecule,
"Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone",small molecule,
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One",small molecule,
CRA_1802,small molecule,
"3-(4-Carbamoyl-1-Carboxy-2-Methylsulfonyl-Buta-1,3-Dienylamino)-Indolizine-2-Carboxylic Acid",small molecule,
Arotinoid acid,small molecule,
3-(2-Aminoethyl)-4-(Aminomethyl)Heptanedioic Acid,small molecule,
"2,3-Di-O-Sulfo-Alpha-D-Glucopyranose",small molecule,
N-[1-(4-Bromophenyl)Ethyl]-5-Fluoro Salicylamide,small molecule,
4-(4-Hydroxy-3-Isopropylphenylthio)-2-Isopropylphenol,small molecule,
Cyanocinnoline,small molecule,
"2',3'-Dideoxycytidine-5'-Monophosphate",small molecule,
Beta-Cyclohexyl-Alanine,small molecule,
4-Imino-5-Methidyl-2-Trifluoromethylpyrimidine,small molecule,
"2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Triphosphate",small molecule,
FKB-001,small molecule,
"4-O-(4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Beta-D-Lyxo-Hexopyranosyl)-Alpha-D-Erythro-Hexopyranose",small molecule,
6-Hydroxyuridine-5'-Phosphate,small molecule,
Tricyclazole,small molecule,
L-2-Amino-6-Methylene-Pimelic Acid,small molecule,
D-Methionine,small molecule,
"Sulfamic Acid 2,3-O-(1-Methylethylidene)-4,5-O-Sulfonyl-Beta-Fructopyranose Ester",small molecule,
3-(Prop-2-Ene-1-Sulfinyl)-Propene-1-Thiol,small molecule,
Methylthioinosine,small molecule,
Acetylphosphate,small molecule,
5-{[(2-Amino-9h-Purin-6-Yl)Oxy]Methyl}-2-Pyrrolidinone,small molecule,
N-Carboxymethionine,small molecule,
alpha-D-mannose 6-phosphate,small molecule,
Stanolone,small molecule,
3'-Phosphate-Adenosine-5'-Phosphate Sulfate,small molecule,
BV3,small molecule,
Beta-3-Serine,small molecule,
"Phosphoric Acid Mono-[3,4-Dihydroxy-5-(5-Hydroxy-Benzoimidazol-1-Yl)Tetrahydro-Furan-2-Ylmethyl] Ester",small molecule,
"(2s,4s)-Alpha-Campholinic Acid",small molecule,
2-Amino-Vinyl-Phosphate,small molecule,
RU78783,small molecule,
5-(2-Chlorophenyl)Furan-2-Carboxylic Acid,small molecule,
Octanoyl-Coenzyme A,small molecule,
"2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine",small molecule,
Propanoyl-CoA,small molecule,
"(6e)-6-[(2e,4e,6e)-3,7-Dimethylnona-2,4,6,8-Tetraenylidene]-1,5,5-Trimethylcyclohexene",small molecule,
"4-(2,4-Dimethyl-1,3-thiazol-5-yl)-N-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine",small molecule,
"[(2r,3s,4r,5r)-5-(6-Amino-9h-Purin-9-Yl)-3,4-Dihydroxytetrahydro-2-Furanyl]Methyl Sulfamate",small molecule,
N-Hydroxy-4-(Methyl{[5-(2-Pyridinyl)-2-Thienyl]Sulfonyl}Amino)Benzamide,small molecule,
6-(4-Difluoromethoxy-3-Methoxy-Phenyl)-2h-Pyridazin-3-One,small molecule,
"2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine",small molecule,
Zn(Ii)-(20-Oxo-Protoporphyrin Ix),small molecule,
(South)-Methanocarba-Thymidine,small molecule,
Hexafluoroacetone Hydrate,small molecule,
"Biphenyl-2,3-Diol",small molecule,
"(4R)-limonene 1α,2α-epoxide",small molecule,
Piretanide,small molecule,
"Mixed Carbamic Phosphoric Acid Anhydride of 7,8-Diaminononanic Acid",small molecule,
3-Amino-6-Hydroxy-Tyrosine,small molecule,
K201,small molecule,
Adenosine 5'-[γ-thio]triphosphate,small molecule,
Coa-S-Acetyl Tryptamine,small molecule,
(R)-Bicalutamide,small molecule,
5'-Deoxy-5'-(Methylthio)-Tubercidin,small molecule,
9-(6-deoxy-alpha-L-talofuranosyl)-6-methylpurine,small molecule,
Diglyme,small molecule,
4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid,small molecule,
"Gamma-Arsono-Beta, Gamma-Methyleneadenosine-5'-Diphosphate",small molecule,
Heptanoic Acid,small molecule,
"(4s)-2-[(1e)-1-Aminoprop-1-Enyl]-4,5-Dihydro-1,3-Thiazole-4-Carboxylic Acid",small molecule,
3-(1-Aminoethyl)Nonanedioic Acid,small molecule,
"Inositol 1,3-Bisphosphate",small molecule,
N-(4-Aminobutanoyl)-S-(4-Methoxybenzyl)-L-Cysteinylglycine,small molecule,
alpha-L-iduronic acid,small molecule,
Carpropamide,small molecule,
2-Fluoro-2'-Deoxyadenosine,small molecule,
Fosmidomycin,small molecule,
2-Acetyl-Protoporphyrin Ix,small molecule,
Hymenialdisine,small molecule,
3-Hydroxypyruvic Acid,small molecule,
Alpha-Aminoisobutyric Acid,small molecule,
2-Thiomethyl-3-Phenylpropanoic Acid,small molecule,
(Carboxyhydroxyamino)Ethanoic Acid,small molecule,
Ricinoleic Acid,small molecule,
Pentasulfide-Sulfur,small molecule,
Orotidine-5'-Monophosphate,small molecule,
Selenomethionine Selenoxide,small molecule,
Oxitriptan,small molecule,
1-Carboxyethylaminomethyl-4-Aminomethylbenzene,small molecule,
Rhamnose,small molecule,
Benzimidazole,small molecule,
"(5-Chloropyrazolo[1,5-a]Pyrimidin-7-Yl)-(4-Methanesulfonylphenyl)Amine",small molecule,
"8,9,10-Trihydroxy-7-Hydroxymethyl-2-Thioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Decan-4-One",small molecule,
Ndelta-(N'-Sulphodiaminophosphinyl)-L-Ornithine,small molecule,
Fluoro-Willardiine,small molecule,
N-Ethylmaleimide,small molecule,
Penicillin G Acyl-Serine,small molecule,
4-Methyl-5-Hydroxyethylthiazole,small molecule,
2-Propyl-Aniline,small molecule,
2-Amino-4-(2-Amino-Ethoxy)-Butyric Acid,small molecule,
1-Benzyl-(R)-Propylamine,small molecule,
4-(5-Bromo-2-Oxo-2h-Indol-3-Ylazo)-Benzenesulfonamide,small molecule,
4-(4-Chlorophenyl)Imidazole,small molecule,
GE-2270A,small molecule,
Uridine-5'-monophosphate 2-deoxy-2-fluoro-galactopyranosyl-monophosphate ester,small molecule,
PNU177836,small molecule,
Beta-Hydroxyleucine,small molecule,
"N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane",small molecule,
Thymidine-5'-(Dithio)Phosphate,small molecule,
Vitamin B6 Complexed with 2-Amino-Hexanoic Acid,small molecule,
Bombykol,small molecule,
Para-Mercury-Benzenesulfonic Acid,small molecule,
"4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline",small molecule,
8-Iodo-Guanine,small molecule,
"N-(2-Thienylmethyl)-2,5-Thiophenedisulfonamide",small molecule,
Cysteine-S-Acetamide,small molecule,
Imino-Tryptophan,small molecule,
CRA_10972,small molecule,
C16-Fatty-Acyl-Substrate-Mimic,small molecule,
S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea,small molecule,
1-Deoxy-6-O-Phosphono-1-[(Phosphonomethyl)Amino]-L-Threo-Hexitol,small molecule,
8-Methyl-9-Oxoguanine,small molecule,
Cacodylic acid,small molecule,
Cyclohexylammonium Ion,small molecule,
2-(Thiomethylene)-4-Methylpentanoic Acid,small molecule,
Methyltrienolone,small molecule,
Quisqualate,small molecule,
S-9-(2-hydroxypropyl)adenine,small molecule,
Peridinin,small molecule,
p-Iodophenol,small molecule,
Glutathione Sulfonic Acid,small molecule,
1-[(1s)-Carboxy-2-(Methylsulfinyl)Ethyl]-(3r)-[(5s)-5-Amino-5-Carboxypentanamido]-(4r)-Sulfanylazetidin-2-One,small molecule,
"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-5-Yl]Hexyl]-Phenanthridinium",small molecule,
Arsanilic acid,small molecule,
"9r,13r-Opda",small molecule,
5-fluoro-beta-L-gulosyl fluoride,small molecule,
2-[(2-Oxo-2-Piperidin-1-Ylethyl)Thio]-6-(Trifluoromethyl)Pyrimidin-4(1h)-One,small molecule,
Patupilone,small molecule,
Adenosine-5'-(Dithio)Phosphate,small molecule,
Phenylalanine-N-Sulfonamide,small molecule,
,small molecule,
"6-Hydroxy-1,6-Dihydro Purine Nucleoside",small molecule,
CRA_1801,small molecule,
Lauric Acid,small molecule,
"3,4-Dimethylaniline",small molecule,
"4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine",small molecule,
5-Beta-D-Ribofuranosylnicotinamide Adenine Dinucleotide,small molecule,
Ulapualide A,small molecule,
"3-{2,6,8-trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",small molecule,
"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",small molecule,
2-Methyl-3-(2-Aminothiazolo)Propanal,small molecule,
(S)-oct-1-en-3-ol,small molecule,
Phosphoglycolohydroxamic Acid,small molecule,
1h-Benoximidazole-2-Carboxylic Acid,small molecule,
4-(2-Thienyl)-1-(4-Methylbenzyl)-1h-Imidazole,small molecule,
Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Octyl-Amide,small molecule,
S-Octylglutathione,small molecule,
1-Methyloxy-4-Sulfone-Benzene,small molecule,
D-Levofloxacin,small molecule,
"1,8-Di-Hydroxy-4-Nitro-Anthraquinone",small molecule,
Oxidized Acetyl Dithranol,small molecule,
LY341770,small molecule,
"4-(Aminosulfonyl)-N-[(2,5-Difluorophenyl)Methyl]-Benzamide",small molecule,
Nitrilotriacetic Acid,small molecule,
UDP-alpha-D-glucuronic acid,small molecule,
5-Phosphoarabinonic Acid,small molecule,
"(S)-2-Amino-3-(6h-Selenolo[2,3-B]-Pyrrol-4-Yl)-Propionic Acid",small molecule,
1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea,small molecule,
Pantothenyl-Aminoethanol-Acetate Pivalic Acid,small molecule,
7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide,small molecule,
L-Alpha-Phosphatidyl-Beta-Oleoyl-Gamma-Palmitoyl-Phosphatidylethanolamine,small molecule,
6-Carboxymethyluracil,small molecule,
S-Selanyl Cysteine,small molecule,
Tetrahydrofuran-2-Carboxylic Acid,small molecule,
Dazoxiben,small molecule,
1-Aminocyclopropylphosphonate,small molecule,
Bromoform,small molecule,
4-Piperidino-Piperidine,small molecule,
Malonaldehyde,small molecule,
2-Aminobenzyl alcohol,small molecule,
Acetoacetyl-CoA,small molecule,
Sri-9662,small molecule,
(R)-N-(1-Methyl-Hexyl)-Formamide,small molecule,
(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone,small molecule,
"N-(1-Benzyl-3-{[3-(1,3-Dioxo-1,3-Dihydro-Isoindol-2-Yl)-Propionyl]-[2-(Hexahydro-Benzo[1,3]Dioxol-5-Yl)-Ethyl]-Amino}-2-Hydroxy-Propyl)-4-Benzyloxy-3,5-Dimethoxy-Benzamide",small molecule,
"3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline",small molecule,
7-Nitroindazole-2-Carboxamidine,small molecule,
D-Lactic acid,small molecule,
"4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid",small molecule,
Zebularine,small molecule,
Cytidine-5'-Diphospho-Beta-D-Xylose,small molecule,
Selenazole-4-Carboxyamide-Adenine Dinucleotide,small molecule,
4-Methylidene-5-One,small molecule,
"2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone",small molecule,
3-Methoxybenzamide,small molecule,
7-Deaza-7-Cyano-Guanine,small molecule,
(Diphosphono)Aminophosphonic Acid,small molecule,
AHA047,small molecule,
"3-Amino-4-{3-[2-(2-Propoxy-Ethoxy)-Ethoxy]-Propylamino}-Cyclobut-3-Ene-1,2-Dione",small molecule,
PASBN,small molecule,
Alpha-Ribazole-5'-Phosphate Derivative,small molecule,
Crc200 (Chiron-Behring),small molecule,
6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide,small molecule,
IC261,small molecule,
"Cyclopropyl-{4-[5-(3,4-Dichlorophenyl)-2-[(1-Methyl)-Piperidin]-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine",small molecule,
Glycolic acid,small molecule,
"N'-(2s,3r)-3-Amino-4-Cyclohexyl-2-Hydroxy-Butano-N-(4-Methylphenyl)Hydrazide",small molecule,
2-(Sec-Butyl)Thiazole,small molecule,
Pidolic Acid,small molecule,
Ethylaminobenzylmethylcarbonyl Group,small molecule,
4-Amido-4-Carbamoyl-Butyric Acid,small molecule,
5-Hydroxymethyl-Chonduritol,small molecule,
"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine",small molecule,
"3,5-Dihydro-5-Methylidene-4h-Imidazol-4-On",small molecule,
Tetramethylammonium Ion,small molecule,
N-Aminoethylmorpholine,small molecule,
"Pmp-Hydroxyisoxazole, Pyridoxamine-5-Phosphate-Hydroxyisoxazole",small molecule,
[Methylseleno]Acetate,small molecule,
5-Amino 6-Nitro Uracil,small molecule,
6-Nitroindazole,small molecule,
Ribose-1-Phosphate,small molecule,
"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid",small molecule,
Thymidine-5'- Diphosphate,small molecule,
RU82129,small molecule,
5-Hydroxy Norvaline,small molecule,
scyllo-inositol,small molecule,
Beta-Alanine,small molecule,
4-phospho-D-erythronic acid,small molecule,
N-Acetyl-D-Allosamine,small molecule,
2-Chlorophenol,small molecule,
Glucosamine 1-Phosphate,small molecule,
"6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid",small molecule,
3-Fluoro-2-(Phosphonooxy)Propanoic Acid,small molecule,
PAS219,small molecule,
"5-Bromo-N-(2,3-Dihydroxypropoxy)-3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)Amino]Benzamide",small molecule,
5-(1-Carboxy-1-Phosphonooxy-Ethoxyl)-Shikimate-3-Phosphate,small molecule,
2-Carboxypropyl-Coenzyme A,small molecule,
1-(5-Chloroindol-3-Yl)-3-Hydroxy-3-(2h-Tetrazol-5-Yl)-Propenone,small molecule,
Para-Toluene Sulfonate,small molecule,
(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,small molecule,
5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid,small molecule,
"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",small molecule,
Mant-Adp,small molecule,
Benzamidine,small molecule,
Acetylcholine,small molecule,
"[3-(1,3,2-Dioxaborolan-2-Yloxy)Propyl]Guanidine",small molecule,
S-P-Nitrobenzyloxycarbonylglutathione,small molecule,
3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid,small molecule,
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole",small molecule,
2-Aminopimelic Acid,small molecule,
[2(Formyl-Hydroxy-Amino)-Ethyl]-Phosphonic Acid,small molecule,
4-Iodobenzo[B]Thiophene-2-Carboxamidine,small molecule,
"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine",small molecule,
Perchlorate,small molecule,
"6-[5-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Pentanoylamino]-Hexanoic Acid",small molecule,
4-Carboxyphenylboronic Acid,small molecule,
"3-{[(5R,6R)-5-Benzyl-6-hydroxy-2,4-bis(4-hydroxybenzyl)-3-oxo-1,2,4-triazepan-1-yl]sulfonyl}benzonitril",small molecule,
Alpha-L-Arabinose,small molecule,
Nonan-1-Ol,small molecule,
N-Omega-Hydroxy-L-Arginine,small molecule,
4-Methyl-5-Hydroxyethylthiazole Phosphate,small molecule,
2-deazo-6-thiophosphate guanosine-5'-monophosphate,small molecule,
Flavin adenine dinucleotide,small molecule,
Phosphomethylphosphonic Acid Adenosyl Ester,small molecule,
"2',3'-Dideoxythymidine-5'-Monophosphate",small molecule,
(Mu-4-Sulfido)-Tetra-Nuclear Copper Ion,small molecule,
B-2-Octylglucoside,small molecule,
"3h-Pyrazolo[4,3-D]Pyrimidin-7-Ol",small molecule,
{[7-(Difluoro-Phosphono-Methyl)-Naphthalen-2-Yl]-Difluoro-Methyl}-Phosphonic Acid,small molecule,
"1-(2-Deoxy-2-Fluoro-3-O-Phosphono-Beta-L-Ribofuranosyl)Pyrimidine-2,4(1h,3h)-Dione",small molecule,
D-Glucuronic Acid,small molecule,
"N,O-Didansyl-L-Tyrosine",small molecule,
"D-Myo-Inositol-1,4-Bisphosphate",small molecule,
CRA_8696,small molecule,
N-Pyridoxyl-7-Keto-8-Aminopelargonic Acid-5'-Monophosphate,small molecule,
Thymidine-5'-Diphospho-Beta-D-Xylose,small molecule,
"4-Hydroxy-1,2,5-Thiadiazole-3-Carboxylic Acid",small molecule,
2-oxopropyl-CoM,small molecule,
6-Amino-1-Methylpurine,small molecule,
2-Dimethylamino-Ethyl-Diphosphate,small molecule,
Acetic acid,small molecule,
Pentabromophenol,small molecule,
Nicotinamide Adenine Dinucleotide Cyclohexanone,small molecule,
(S)-Hmg-Coa,small molecule,
Dephospho Coenzyme A,small molecule,
Indole-3-Propanol Phosphate,small molecule,
Tubercidin,small molecule,
CRA_10433,small molecule,
Phosphonoacetaldehyde,small molecule,
Propyl alcohol,small molecule,
KB-141,small molecule,
5-methylbenzimidazole,small molecule,
"Guanosine-2',3'-Cyclophosphorothioate",small molecule,
Sinapoyl Coenzyme A,small molecule,
"4,5-Dimethyl-1,2-Phenylenediamine",small molecule,
"2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione",small molecule,
Alpha-Fluoro-Carboxymethyldethia Coenzyme a Complex,small molecule,
"1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",small molecule,
5-Amino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,small molecule,
"1-Beta-Ribofuranosyl-1,3-Diazepinone",small molecule,
U-Pi-a-Pi,small molecule,
6-(Hydroxyethyldithio)-8-(Aminomethylthio)Octanoic Acid,small molecule,
Cu-Cyclam,small molecule,
"N-Octanoyl-B-D-Fructofuranosyl-a-D-Glucopyranoside,Sucrose Monocaproylate",small molecule,
3-Oxiran-2ylalanine,small molecule,
3r-Hydroxydecanoyl-Coa,small molecule,
Stearic acid,small molecule,
beta-L-methyl-fucose,small molecule,
"Phosphoric Acid Mono-[3-Fluoro-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahyro-Furan-2-Ylmethyl] Ester",small molecule,
4-Nitrophenyl-Ara,small molecule,
6-Hydroxymethylpterin,small molecule,
Thio-Maltohexaose,small molecule,
4-Methoxy-E-Rhodomycin T,small molecule,
7-Alpha-D-Ribofuranosyl-Purine-5'-Phosphate,small molecule,
D-Cysteine,small molecule,
"2-[5-Methanesulfonylamino-2-(4-Aminophenyl)-6-Oxo-1,6-Dihydro-1-Pyrimidinyl]-N-(3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl)Acetamide",small molecule,
Sphingosine,small molecule,
5-(Aminomethyl)-2-Methylpyrimidin-4-Amine,small molecule,
Pyrroloquinoline Quinone,small molecule,
Duvoglustat,small molecule,
"2-(Biphenyl-4-Sulfonyl)-1,2,3,4-Tetrahydro-Isoquinoline-3-Carboxylic Acid",small molecule,
"Beta-1,2,3,4,6-Penta-O-Galloyl-D-Glucopyranose",small molecule,
Oteracil,small molecule,
4-Aminohydrocinnamic Acid,small molecule,
(3-Formyl-but-3-Enyl)-Phosphonic Acid,small molecule,
4-Deoxyglucarate,small molecule,
Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone,small molecule,
Vinylglycine,small molecule,
"(2s,5s)-5-Carboxymethylproline",small molecule,
"(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine",small molecule,
DPI59,small molecule,
N-Acetyl-N'-Beta-D-Glucopyranosyl Urea,small molecule,
11-Deoxy-Beta-Rhodomycin,small molecule,
FR233623,small molecule,
AL7099A,small molecule,
dATP,small molecule,
Diphthamide,small molecule,
2-Formyl-Protoporphryn Ix,small molecule,
D-Tryptophan,small molecule,
Trifluoroethanol,small molecule,
Nicotinamide Mononucleotide,small molecule,
"5-[Bis-2(Chloro-Ethyl)-Amino]-2,4-Dintro-Benzamide",small molecule,
2-Oxo-4-Methylpentanoic Acid,small molecule,
Adenosine-5'-Propylphosphate,small molecule,
"3-(5-Amino-7-oxo-3,7-dihydro-2H-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(2-{[2-(hydroxymethyl)phenyl]sulfanyl}benzyl)benzamide",small molecule,
"2-[(2e,6e,10e,14e,18e,22e,26e)-3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-Octaenyl]Phenol",small molecule,
"Phosphoric Acid Mono-[3-Amino-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahydro-Furan-2-Ylmethyl] Ester",small molecule,
"(4'-{[Allyl(Methyl)Amino]Methyl}-1,1'-Biphenyl-4-Yl)(4-Bromophenyl)Methanone",small molecule,
N-{3-[4-(3-aminopropyl)piperazin-1-yl]propyl}-3-(alpha-D-galactopyranosyloxy)-5-nitrobenzamide,small molecule,
(2s)-4-(Beta-Alanylamino)-2-Aminobutanoic Acid,small molecule,
"2,3-Dihydroxy-5-Oxo-Hexanedioate",small molecule,
"3,5-Difluoroaniline",small molecule,
"3',5'-Dinitro-N-Acetyl-L-Thyronine",small molecule,
